Reference,Equipment
1,"66kV,TR-1,12.5MVA, PROLEC"
2,"66kV,TR-2,12.5MVA, PROLEC"
3,"AUX, TR, 100kVA, UNIVERSAL"
4,"DG ROOM, TR1, 630kVA"
5,"DG ROOM, TR2, 630kVA"
6,"UTILITY, TR-1, 1500kVA"
7,"UTILITY, TR-2, 1500kVA"
8,"UTILITY, TR-3, 1500kVA"
9,"UTILITY, TR-4, 1500kVA"
10,"NEW UTILITY, TR-1, 1500kVA"
11,"NEW UTILITY, TR-2, 1500kVA"
12,"PH1, N/W, TR-1, 1250kVA "
13,"PH1, N/W, TR-2, 1250kVA "
14,"PH1, N/W, TR-3, 1000kVA "
15,"PH1, S/W, TR-1, 1250kVA "
16,"PH1, S/W, TR-2, 1250kVA "
17,"PH1, S/W, TR-3, 1000kVA "
18,"PH2, N/W, TR-1, 1250kVA "
19,"PH2, N/W, TR-2, 1250kVA "
20,"PH2, N/W, TR-3, 1250kVA "
21,"PH2, S/W, TR-1, 1500kVA"
22,"PH2, S/W, TR-2, 1500kVA"
23,"PH2, S/W, TR-3, 1500kVA"
24,"PH2, S/W, TR-4, 1500kVA"
25,DG 1 Cummins 1250kVA
26,DG 2 Cummins 1250kVA
27,DG 3 Cummins 2000kVA
28,DG 4 Perkins 2000kVA
29,DG 5 Perkins 2000kVA
30,"AMF Set-1, 250kVA for HT shop"
31,"66kV SS, 11kV HT Panel (7Nos.)"
32,HT Panel-1 ( 5no's) DG Room 
33,HT Panel-2 ( 5no's) DG Room 
34,DG HT Panel ( 9+8no's) DG Room
35,11 kV Grid & Sync control & Relay Panels (11Nos.)
36,11 kV  NGR Panel (15nos.)
37,1.1 HT Panel Utility Block (5no's) (N/W)
38,1.2 HT Panel Utility Block ( 6Nos.) (S/W)
39,Utility Block  HT Panel (6no's)
40,New Utility HT Panel (6nos.)
41,"11kV HT Panel, Ph1, N/W, SS (5Nos.)"
42,"11kV HT Panel, Ph1, S/W, SS (5Nos.)"
43,"11kV HT Panel, Ph2, N/W, SS (7Nos.)"
44,"11kV HT Panel, Ph2, S/W, SS (8Nos.)"
45,Main LT Panel (66kV Station)
46,Main LT Panel (DG Room)
47,DG Room Utility  LT Panel
48,DG Room Auxiliary LT Panel
49,Main LT Feeders (Utility)
50,Main LT Feeders (New Utility)
51,"Main LT Feeders (Ph1, N/W)"
52,"Main LT Feeders (Ph1, S/W)"
53,"Main LT Feeders (Ph2, N/W)"
54,"Main LT Feeders (Ph2, S/W)"
55,Main LT Feeders HT shop
56,APFC-4A DG Control room
57,APFC-4B DG Control room
58,APFC-04 (Utility)
59,APFC-3A (Utility)
60,APFC-3B (Utility)
61,APFC-3C (Utility)
62,APFC-5(New Utility)
63,APFC-6 (New Utility)
64,"APFC-1A, PH-1, N/W SS"
65,"APFC-1B, PH-1, N/W SS"
66,"APFC-1C, PH-1, N/W SS"
67,"APFC-2A, PH-1, S/W SS"
68,"APFC-2B, PH-1, S/W SS"
69,"APFC-2C, PH-1, S/W SS"
70,"APFC-01, PH-2, N/W SS"
71,"APFC-02, PH-2, N/W SS"
72,"APFC-03, PH-2, N/W SS"
73,"APFC-01, PH-2, S/W SS"
74,"APFC-02, PH-2, S/W SS"
75,"APFC-03, PH-2, S/W SS"
76,"APFC-04, PH-2, S/W SS"
77,PDB-01 Utility Block
78,PDB-02 TEF3 Competence Lab B102
79,PDB-03 Ultra filtration Area
80,"PDB Panel-01 (Ph1, N/W)"
81,"PDB Panel-02 (Ph1, N/W)"
82,"PDB Panel-01 (Ph1, S/W)"
83,"PDB Panel-02 (Ph1, S/W)"
84,"PDB Panel-03 (Ph1, S/W)"
85,TCT Building PDB Panel
86,PDB Panel-01 (Ph2 S/W)
87,PDB Panel-01(HT Shop)
88,PDB Panel (ST Shop)
89,PDB Panel for FCM Container Off.
90,SPDB Panels 1 to 4 HT SHOP
91,SPDB Panel 5 AETP 1st flr. (HT Shop)
92,SPDB Panels 6 to 9 HT SHOP
93,Utility Block RP Panel
94,Kitchen RP Panel
95,Gate-02 UPS Room Main LT Panel
96,"Prod. area RP Panel (Ph1, N/W)"
97,Off. area RP Panel N/W (Ph1 G/F elect. room)
98,"Prod. area RP Panel (Ph1, S/W)"
